city_name,city_pinyin
鞍山,anshan
安阳,anyang
安庆,anqing
安康,ankang
安顺,anshun
阿坝,aba
阿克苏,akesu
阿里,ali
阿拉尔,alaer
阿拉善盟,alashanm
阿勒泰,aletai
安吉,anjixian
安岳,anyuexian
安溪,anxi
安丘,anqiu
安宁,anning
安达,shanda
安陆,xganlu
北京,beijing
保定,baoding
包头,baotou
滨州,binzhou
宝鸡,baoji
蚌埠,bengbu
本溪,benxi
北海,beihai
巴音郭楞,bayinguoleng
巴中,bazhong
巴彦淖尔市,bayannaoer
亳州,bozhou
白银,baiyin
白城,baicheng
百色,baise
白山,baishan
博尔塔拉,boertala
毕节,bijie
保山,baoshan
博罗,boluoxian
宝应县,baoyingxian
霸州,bazh
北票,beipiao
北流,beiliu
博兴,boxingxian
博白,bobaixian
成都,chengdu
重庆,chongqing
长沙,cs
常州,cz
长春,cc
沧州,cangzhou
昌吉,changji
赤峰,chifeng
常德,changde
郴州,chenzhou
承德,chengde
长治,changzhi
池州,chizhou
滁州,chuzhou
朝阳,chaoyang
潮州,chaozhou
楚雄,chuxiong
巢湖,chaohu
昌都,changdu
长葛,changge
崇左,chongzuo
长兴,changxingxian
慈溪,cixi
澄迈,cm
常熟,changshushi
苍南,cangnanxian
曹县,caoxian
长垣,changyuanxian
昌邑,jlchangyi
昌乐,changle
赤壁,chibi
岑溪,cengxi
沧县,cangxian
长宁,changning
磁县,cixian
慈利,cilixian
长岭,changlingxian
茌平,chiping
大连,dalian
东莞,dg
德阳,deyang
大理,dali
德州,dezhou
东营,dongying
大庆,daqing
丹东,dandong
大同,datong
达州,dazhou
大丰,dafeng
德宏,dehong
定州,dingzhou
迪庆,diqing
定西,dingxi
大兴安岭,dxanling
东阳,dongyang
东台,dongtai
丹阳,danyang
德清,deqingxian
东海,donghaixian
东方,dongfang
定安,da
儋州,danzhou
单县,danxian
邓州,dengzhou
当阳,ycdangyang
灯塔,dengta
敦煌,dunhuang
大竹,dazhu
定边,dingbianxian
东明,dongmingxian
东平,dongpingxian
大悟,dawuxian
东至,dongzhixian
大亚湾,dayawana
鄂尔多斯,eerduosi
恩施,enshi
鄂州,ezhou
佛山,foshan
福州,fz
阜阳,fuyang
抚顺,fushun
阜新,fuxin
抚州,fuzhoushi
防城港,fangchenggang
肥城,feichengshi
阜宁,funing
福清,fuqing
福安,fuan
凤城,ddfengcheng
丰县,fengxian
丰城,fengchengshi
福鼎,fuding
浮梁,fuliang
府谷,fuguxian
范县,fanxian
分宜,fenyixian
扶余,fuyushi
广州,guangzhou
贵阳,gy
桂林,guilin
赣州,ganzhou
广安,guangan
贵港,guigang
广元,guangyuan
甘孜,ganzi
甘南藏族自治州,gannan
馆陶,guantao
果洛,guoluo
固原,guyuan
改则,gaizexian
广饶,guangraoxian
公主岭,gongzhulingshi
广汉,guanghan
灌云,guanyunxian
灌南,guannanxian
高密,gaomishi
固安,guan
广水,szguangshui
格尔木,geermu
桂平,guiping
高安,gaoanshi
谷城,gucheng
高唐,gaotangxian
冠县,guanxian
固始,gushixian
桂阳,guiyangxian
高平,gaopingshi
杭州,hangzhou
合肥,hf
哈尔滨,heb
海口,haikou
惠州,huizhou
邯郸,handan
呼和浩特,huhehaote
黄冈,huanggang
淮南,huainan
黄山,huangshan
鹤壁,hebi
衡阳,hengyang
湖州,huzhou
衡水,hengshui
汉中,hanzhong
淮安,huaian
黄石,huangshi
菏泽,heze
怀化,huaihua
淮北,huaibei
葫芦岛,huludao
河源,heyuan
红河,honghe
哈密,hami
鹤岗,hegang
呼伦贝尔,hulunbeier
海北,haibei
海东,haidong
海南藏族自治州,hainan
河池,hechi
黑河,heihe
和县,hexian
贺州,hezhou
海拉尔,hailaer
霍邱,huoqiu
和田,hetian
黄南,huangnan
海西,hexi
海门,haimen
海安,haianxian
海宁,haining
惠东,huidongxian
汉川,hanchuanshi
海丰,haifengxian
桓台,huantaixian
常宁,hychangning
桦甸,jlhuadian
海盐,haiyan
永城,hnyongcheng
黄骅,huanghua
河间,hejian
韩城,hancheng
滑县,huaxian
衡东,hengdongxian
华容,huarongxian
淮滨,huaibinxian
胡杨河,huyanghe
济南,jinan
嘉兴,jx
吉林,jilin
江门,jiangmen
荆门,jingmen
锦州,jinzhou
景德镇,jingdezhen
吉安,jian
