"城市","小区名称","价格","地址","小区链接","物业类型","权属类别","竣工时间","产权年限","总户数","总建筑面积","容积率","绿化率","建筑类型","所属商圈","统一供暖","供水供电","停车位","物业费","停车费","车位管理费","物业公司","小区地址","开发商","在售房源","在租房源"
"鞍山","皇冠壹品","8264元/m²","立山 - 立山广场 - 槐林路，近越岭路","https://anshan.anjuke.com/community/view/1001851","住宅","商品房住宅","暂无","70年","3160户","暂无","暂无","暂无","多层","立山广场","是","民用","500(1:0.2)","2.50元/平米/月","地下100.00元/月","暂无","戴德梁行物业顾问有限公司","槐林路，近越岭路","鞍山华达置业有限公司","312 套","2 套"
"鞍山","宝居朗庭国际","4704元/m²","铁西 - 二台子 - 交通路224号","https://anshan.anjuke.com/community/view/955711","住宅","商品房住宅","暂无","70年","3820户","暂无","暂无","暂无","小高层|高层","二台子","是","民用","2000(1:0.5)","1.50元/平米/月","暂无","暂无","润泽物业","交通路224号","鞍山宝居置业有限公司","313 套","11 套"
"鞍山","万科惠斯勒小镇数据由万科物业提供","6202元/m²","2015年竣工铁东 - 明达 - 湖南街202号","https://anshan.anjuke.com/community/view/709321","住宅","商品房住宅","2015年","70年","2564户","暂无","1.40","暂无","多层|高层","明达","是","民用","暂无","1.00元/平米/月","暂无","暂无","鞍山万科物业服务有限公司","湖南街202号","鞍山万科房地产开发有限公司","75 套","22 套"
"鞍山","阪芙小镇","2840元/m²","2008年竣工铁西 - 二台子 - 建设大道862-34号","https://anshan.anjuke.com/community/view/709571","住宅","商品房住宅","2008年","70年","7015户","暂无","1.60","暂无","多层|小高层","二台子","是","民用","暂无","0.50元/平米/月","暂无","暂无","开发商自建自管","建设大道862-34号","鞍山勇亨房地产开发有限公司","83 套","19 套"
"鞍山","巴黎花园","5770元/m²","2015年竣工铁东 - 二一九 - 光荣街","https://anshan.anjuke.com/community/view/955708","住宅","商品房住宅","2015年","70年","4134户","暂无","暂无","暂无","小高层|高层","二一九","是","民用","78(1:0.0)","1.20元/平米/月","暂无","暂无","四隆物业","光荣街","四隆集团","174 套","21 套"
"鞍山","东亚第一城(四五期)","3750元/m²","铁东 - 师范学院 - 明山街","https://anshan.anjuke.com/community/view/955741","住宅","商品房住宅","暂无","70年","3980户","暂无","2.84","暂无","高层","师范学院","是","民用","1200(1:0.3)","1.50元/平米/月","暂无","暂无","北京东亚时代物业管理有限公司鞍山分公司","明山街","鞍山东亚信天国际会展中心有限公司","139 套","10 套"
"鞍山","公园1号","5045元/m²","铁东 - 明达 - 解放东路455号","https://anshan.anjuke.com/community/view/955763","住宅","商品房住宅","暂无","70年","1657户","暂无","暂无","暂无","多层|高层","明达","是","民用","2500(1:1.5)","暂无","暂无","暂无","盈超物业","解放东路455号","盈超集团","120 套","12 套"
"鞍山","沿海绿色智慧城","4243元/m²","2012年竣工立山 - 深沟寺 - 千山路268号","https://anshan.anjuke.com/community/view/709576","住宅","商品房住宅","2012年","70年","3013户","暂无","暂无","暂无","多层","深沟寺","是","民用","暂无","0.50元/平米/月","暂无","暂无","美佳物业管理有限公司","千山路268号","沿海绿色家园发展（鞍山）有限公司","72 套","15 套"
"鞍山","万科金域华府数据由万科物业提供","8734元/m²","铁东 - 二一九 - 湖南街202号","https://anshan.anjuke.com/community/view/1006093","住宅","商品房住宅","暂无","70年","2294户","暂无","暂无","暂无","多层|小高层|高层","二一九","是","民用","暂无","暂无","暂无","暂无","鞍山万科物业服务有限公司","湖南街202号","鞍山万科房地产开发有限公司","156 套","12 套"
"鞍山","上峰景城","4406元/m²","立山 - 太平 - 太平街","https://anshan.anjuke.com/community/view/709554","住宅","商品房住宅","暂无","70年","2956户","暂无","3.00","暂无","多层|高层","太平","是","民用","500(1:0.2)","1.20元/平米/月","地下100.00元/月","暂无","江苏悦达物业","太平街","鞍山景城房地产有限公司","63 套","5 套"
